지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 강북구 미아동 682-11 젬스톤프라자,"서울특별시 강북구 삼양로 162, 젬스톤프라자 지하1층 (미아동)",프레스짐(Press GYM),201839.42546198     ,457342.214452314    ,체력단련장업
서울특별시 강북구 수유동 263-7 성은빌딩,"서울특별시 강북구 한천로 1127, 성은빌딩 지하1층 (수유동)",머슬엑스짐,201612.150473236    ,460324.037639614    ,체력단련장업
서울특별시 강북구 미아동 35-27,"서울특별시 강북구 도봉로 34-8, 3층 (미아동)",더 굿핏(The Goodfit),202651.533350789    ,456660.462023001    ,체력단련장업
서울특별시 강북구 미아동 701-3 동북프라자,"서울특별시 강북구 솔샘로 233, 동북프라자 B01, B02호 (미아동)",삼양사거리점 스포애니 (주)케이디헬스케어,201589.777957863    ,457545.100871485    ,체력단련장업
서울특별시 강북구 수유동 95-7 수유동 이테크밸리 오피스텔,"서울특별시 강북구 도봉로77길 6, 수유동 이테크밸리 오피스텔 지층 B102~105호 (수유동)",빌리프짐 수유점,201942.872328818    ,459046.125539538    ,체력단련장업
서울특별시 강북구 번동 309 덕수빌딩,"서울특별시 강북구 오현로 194, 지하1층 (번동)",라이프 플러스 휘트니스,203452.54250506     ,458496.347795039    ,체력단련장업
서울특별시 강북구 미아동 49-35 앨리스고홈빌딩,"서울특별시 강북구 월계로 43, 앨리스고홈빌딩 5층 (미아동)",블랙핏,202955.513386866    ,456578.092715215    ,체력단련장업
서울특별시 강북구 수유동 191-35 우성빌딩,"서울특별시 강북구 한천로 1035, 우성빌딩 지하1층 (수유동)",하이엔드짐,202276.584108307    ,459713.818337637    ,체력단련장업
서울특별시 강북구 수유동 188-26 우림빌딩,"서울특별시 강북구 노해로 70, 우림빌딩 3층 (수유동)",해가든 필라테스,201931.377657528    ,459940.473115349    ,체력단련장업
서울특별시 강북구 수유동 178-16 태림빌딩,"서울특별시 강북구 한천로144길 11, 태림빌딩 2층 (수유동)",파인드 미 짐,202183.586512674    ,459922.031162573    ,체력단련장업
서울특별시 강북구 수유동 191-15 야산빌딩,"서울특별시 강북구 도봉로 343, 야산빌딩 4층 (수유동)",조인성 퍼스널 트레이닝 9호점,202206.678208066    ,459574.070789662    ,체력단련장업
서울특별시 강북구 미아동 189-15 청암빌딩,"서울특별시 강북구 도봉로 254, 청암빌딩 지하1층 (미아동)",드로우짐,202099.830367084    ,458756.889791888    ,체력단련장업
서울특별시 강북구 수유동 740 에피소드 수유 838,"서울특별시 강북구 도봉로 315, 지하1층 (수유동, 에피소드 수유 838)",에이블짐 수유역점,202007.139170813    ,459396.553581885    ,체력단련장업
서울특별시 강북구 번동 448-2 북한산드림캐슬,"서울특별시 강북구 덕릉로 99, 북한산드림캐슬 지하1층 101호 (번동)",짐초이 헬스 & PT 수유역점,202104.349515713    ,459183.280207514    ,체력단련장업
서울특별시 종로구 무악동 82 무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하1층 (무악동)",독립문체육관,196467.975088253    ,452566.134030104    ,체력단련장업
서울특별시 종로구 창신동 328-18 시즌,"서울특별시 종로구 지봉로 19, 시즌 13층 (창신동)",스파렉스,201273.887781838    ,452163.292543039    ,체력단련장업
서울특별시 종로구 연지동 1-7 현대그룹빌딩 서관,"서울특별시 종로구 율곡로 194, 현대그룹빌딩 서관 15층 (연지동)",현대그룹 H Gym,199976.765493088    ,452526.527263312    ,체력단련장업
서울특별시 종로구 청진동 70 그랑서울,"서울특별시 종로구 종로 33, 그랑서울 7층 (청진동)",자강,198286.311784052    ,452091.444332546    ,체력단련장업
서울특별시 종로구 신문로2가 1-146,"서울특별시 종로구 경희궁1길 8, 1층 (신문로2가)",피머짐,197403.42276156     ,452100.249741306    ,체력단련장업
서울특별시 종로구 경운동 91-1 서원빌딩,"서울특별시 종로구 삼일대로 469, 서원빌딩 B2층 (경운동)",아크로짐 안국역점 헬스&PT,198690.658978281    ,452665.844737685    ,체력단련장업
서울특별시 종로구 종로2가 84-8 대한기독교서회,"서울특별시 종로구 종로 68, 대한기독교서회 지하1층 (종로2가)",종각역점 스포애니 ㈜케이디헬스케어,198599.354528711    ,451963.264066125    ,체력단련장업
