지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),점포구분명
서울특별시 송파구 잠실동 101번지 1호,서울특별시 송파구 올림픽로4길 40 (잠실동),프리마 쇼핑센타,206397.34797252     ,444963.233863255    ,대규모점포
서울특별시 송파구 석촌동 277번지 2호,서울특별시 송파구 가락로 103 (석촌동),엄마손상가,209440.726523187    ,444369.495694674    ,대규모점포
서울특별시 송파구 문정동 292번지 외 29필지,서울특별시 송파구 충민로 10 (문정동),가든파이브 툴,210480.282018702    ,441833.16323518     ,대규모점포
서울특별시 송파구 문정동 516번지,서울특별시 송파구 충민로 66 (문정동),가든파이브 라이프,210986.460698452    ,441725.293491662    ,대규모점포
서울특별시 송파구 오금동 615번지  올림픽파크동부센트레빌 상가,서울특별시 송파구 양재대로72길 5 (오금동),올림픽파크동부센트레빌 상가,211217.0019233      ,445334.151660974    ,대규모점포
서울특별시 송파구 송파1동 121번지,서울특별시 송파구 가락로 183 (송파동),한화 송파지점,210057.912138022    ,444767.367639796    ,대규모점포
서울특별시 송파구 가락2동 140번지,서울특별시 송파구 동남로 189 (가락동),쌍용프라자 상가,211259.909777857    ,443711.702922024    ,대규모점포
서울특별시 송파구 잠실2동 19번지 8호,서울특별시 송파구 올림픽로 111 (잠실동),롯데쇼핑(주)롯데슈퍼신천점,207270.219021574    ,445550.277249649    ,준대규모점포
서울특별시 송파구 잠실3동 35번지 2호,서울특별시 송파구 석촌호수로 61 (잠실동),롯데쇼핑(주)롯데슈퍼잠실3동점,207553.918225133    ,445383.338011122    ,준대규모점포
서울특별시 송파구 방이2동 63번지 11호,서울특별시 송파구 올림픽로32길 20 (방이동),롯데쇼핑(주)롯데슈퍼방이점,209576.621957045    ,445779.100983519    ,준대규모점포
서울특별시 송파구 가락동 88번지 2호,서울특별시 송파구 중대로9길 35 (가락동),(주)이마트에브리데이 가락동점,210391.461980814    ,443796.02703891     ,준대규모점포
"서울특별시 송파구 송파2동 121번지 한양2차아파트 1층 6,7호호","서울특별시 송파구 가락로 183, 1층 6,7호 (송파동)",롯데쇼핑(주)롯데슈퍼송파점,210057.912138022    ,444767.367639796    ,준대규모점포
서울특별시 은평구 대조동 240호,서울특별시 은평구 불광로 20 (대조동),엔씨백화점 불광점,193661.732383169    ,456379.193899276    ,대규모점포
서울특별시 은평구 수색동 75번지,서울특별시 은평구 수색로 217 (수색동),(주)이마트 수색점,190977.850603548    ,453037.787995874    ,대규모점포
서울특별시 은평구 응암동 90번지 1호,서울특별시 은평구 은평로 111 (응암동),(주)이마트 은평점,192882.837727443    ,455340.54056388     ,대규모점포
서울특별시 은평구 역촌동 31번지 6호,서울특별시 은평구 진흥로1길 28 (역촌동),서부종합시장,192773.974598512    ,455630.884111772    ,대규모점포
서울특별시 은평구 구산동 1번지 24호,서울특별시 은평구 서오릉로 145 (구산동),홈플러스(주)익스프레스구산점,192563.874496397    ,456570.084566278    ,준대규모점포
서울특별시 은평구 응암3동 124번지 17호,서울특별시 은평구 응암로 247 (응암동),홈플러스(주)익스프레스응암점,192674.132684249    ,454664.166810326    ,준대규모점포
서울특별시 은평구 불광1동 308번지 1호,서울특별시 은평구 통일로 842 (불광동),롯데쇼핑(주)롯데슈퍼범서점,193035.279146132    ,457365.911737494    ,준대규모점포
서울특별시 은평구 불광1동 239번지 9호,서울특별시 은평구 불광로 121 (불광동),홈플러스(주)익스프레스 불광점,194003.88391829     ,457260.736492005    ,준대규모점포
서울특별시 은평구 신사1동 20번지 7호,서울특별시 은평구 갈현로 10 (신사동),홈플러스(주)익스프레스 신사점,192012.208564616    ,455177.704494531    ,준대규모점포
서울특별시 은평구 갈현2동 527번지 13호,서울특별시 은평구 서오릉로 222 (갈현동),홈플러스 익스프레스 갈현점,191953.940215578    ,456960.687756827    ,준대규모점포
서울특별시 은평구 진관동 79번지 15호,"서울특별시 은평구 통일로 1050 (진관동, 롯데몰은평점)",롯데몰 은평,192694.92374224     ,459461.236119623    ,대규모점포
서울특별시 은평구 신사동 228-5,"서울특별시 은평구 가좌로 331, 1층 (신사동)",GS THE FRESH 은평가좌점,191844.913712646    ,454908.495429711    ,준대규모점포
서울특별시 서대문구 홍제3동 294번지 6호,서울특별시 통일로 484 (유진상가),유진상가,194811.756333333    ,454300.739666667    ,대규모점포
서울특별시 서대문구 남가좌동 290번지 2   호,서울특별시 서대문구 수색로2길 45 (남가좌동),모래내시장(주),192503.128282531    ,452051.272452155    ,
서울특별시 서대문구 창천동 30번지 33호,서울특별시 서대문구 신촌로 83 (창천동),현대백화점 신촌점,194265.067639805    ,450433.691021245    ,대규모점포
서울특별시 서대문구 신촌동 74번지 12  호,서울특별시 서대문구 신촌역로 30 (신촌동),신촌 밀리오레,194798.458435966    ,450837.051726331    ,
서울특별시 서대문구 대현동 145번지,서울특별시 서대문구 이화여대1길 10 (대현동),예스에이피엠,195063.820722531    ,450597.874088644    ,
서울특별시 서대문구 연희동 131번지 1호,서울특별시 서대문구 연희맛로 23 (연희동),연희슈퍼마켓,193716.339877929    ,451653.563671802    ,대규모점포
서울특별시 은평구 대조동 240호,서울특별시 은평구 불광로 20 (대조동),팜스퀘어,193661.732383169    ,456379.193899276    ,대규모점포
서울특별시 마포구 합정동 375번지 1호,서울특별시 마포구 양화진길 5 (합정동),합정시장,192257.393762526    ,449554.484192321    ,대규모점포
서울특별시 마포구 서교동 485번지 14호,서울특별시 마포구 동교로12길 21 (서교동),영진시장,192214.380853693    ,450136.910982644    ,
서울특별시 마포구 서교동 357번지 1호,서울특별시 마포구 홍익로3길 20 (서교동),서교시장,193009.20810189     ,450142.186927747    ,
서울특별시 마포구 노고산동 57번지 1호,서울특별시 마포구  신촌로  94 (노고산동),정도진흥기업(주),194273.598098938    ,450318.724130121    ,대규모점포
서울특별시 마포구 망원2동 480번지 1호,,성산시장,                    ,                    ,
서울특별시 마포구 망원2동 517번지,서울특별시 마포구 월드컵로25길 26 (망원동),성산프라자(마포영화블렌하임),191651.529315787    ,450694.803472189    ,대규모점포
서울특별시 마포구 공덕동 173번지 대우월드마크마포,서울특별시 마포구 백범로 212 (신공덕동),(주)이마트 마포점,195808.904523588    ,448910.741283532    ,대규모점포
서울특별시 마포구 신공덕동 173번지,서울특별시 마포구  백범로  212 (신공덕동),(주)이마트 마포점,195808.904523588    ,448910.741283532    ,대규모점포
서울특별시 마포구 서교동 490번지 1호,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",홈플러스 합정점,192311.642580307    ,449855.643910445    ,대규모점포
서울특별시 마포구 동교동 166번지 15호,서울특별시 마포구 양화로 176 (동교동),YZ Park 홍대점,193296.791432042    ,450562.931242819    ,대규모점포
서울특별시 마포구 도화동 353번지,"서울특별시 마포구 도화4길 73 (도화동, 현대홈타운)",홈플러스익스프레스 도화점,195669.217619713    ,448393.658663222    ,준대규모점포
서울특별시 마포구 구수동 61번지,서울특별시 마포구 토정로 193 (구수동),롯데슈퍼 마포점,193981.312705953    ,449301.692398118    ,준대규모점포
서울특별시 마포구 연남동 573번지 코오롱아파트,"서울특별시 마포구 연남로 30 (연남동, 코오롱하늘채아파트)",홈플러스익스프레스 연남점,192899.605749281    ,451360.660991625    ,준대규모점포
,서울특별시 마포구 큰우물로 3 (대흥동),롯데슈퍼 대흥점,194648.759340948    ,449239.314703653    ,준대규모점포
,서울특별시 마포구 토정로 282 (용강동),홈플러스익스프레스 용강점,                    ,                    ,준대규모점포
서울특별시 마포구 동교동 190번지 1호,서울특별시 마포구 양화로 188 (동교동),AK PLAZA 홍대,193285.549735897    ,450808.571641119    ,대규모점포
서울특별시 마포구 동교동 190번지 1호,서울특별시 마포구 와우산로35길 50-4 (동교동),홍대복합역사 상업시설,193285.549735897    ,450808.571641119    ,대규모점포
서울특별시 마포구 신수동 93번지 102호 신촌숲아이파크,"서울특별시 마포구 광성로 17, 상가동 127호 (신수동, 신촌숲아이파크)",GS THE FRESH 신촌숲아이파크점,194134.552742402    ,449869.274982304    ,준대규모점포
서울특별시 마포구 염리동 14-149,"서울특별시 마포구 대흥로24길 24, 마포 프레스티지 자이 아파트 단지 내 상가 A동 115~119호 (염리동)",GS THE FRESH 마포염리점,195310.864204116    ,450080.129868689    ,준대규모점포
서울특별시 양천구 목동 739번지 1호,서울특별시 양천구 목동중앙본로7길 45 (목동),목동시장아울렛,188117.351835882    ,448552.989897945    ,대규모점포
서울특별시 송파구 풍납2동 400번지 5호   101호,서울특별시 송파구 강동대로9길 20 (풍납동),롯데쇼핑(주)롯데슈퍼풍납점,210274.185529862    ,447307.649759292    ,준대규모점포
서울특별시 송파구 석촌동 235번지 17호,서울특별시 송파구 백제고분로34길 3 (석촌동),롯데쇼핑(주)롯데슈퍼석촌점,208675.812751826    ,444446.053485778    ,준대규모점포
서울특별시 송파구 오금동 615번지,서울특별시 송파구 양재대로72길 5 (오금동),농협하나로마트방이역점,211217.0019233      ,445334.151660974    ,준대규모점포
서울특별시 송파구 거여2동 27번지 5호 B101호,서울특별시 오금로 512,홈플러스(주)익스프레스 거여점,212800.699970729    ,443397.261935451    ,준대규모점포
