지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 동대문구 회기동 3-235,서울특별시 동대문구 회기로23가길 34 (회기동),원풀빨래방,204729.05831016     ,454496.209369145    
서울특별시 동대문구 제기동 153,"서울특별시 동대문구 약령시로 25, 상가2동 (제기동, 안암골 벽산아파트)",벽산미래세탁소,202748.961554668    ,453461.616077721    
서울특별시 동대문구 휘경동 211,서울특별시 동대문구 망우로21가길 14 (휘경동),선일사,205458.147829315    ,454297.70947046     
서울특별시 동대문구 전농동 1-174,서울특별시 동대문구 한천로 221 (전농동),현대사,205949.789492363    ,453150.967202437    
서울특별시 동대문구 전농동 271-35,서울특별시 동대문구 사가정로9길 32 (전농동),성일사,204817.578333333    ,452840.361          
서울특별시 동대문구 전농동 46-39,서울특별시 동대문구 사가정로13길 16-1 (전농동),백성사,205089.580335192    ,452922.538050576    
서울특별시 동대문구 전농동 1-76,서울특별시 동대문구 사가정로20길 49 (전농동),광명사,205825.960547494    ,452708.308001284    
서울특별시 동대문구 장안동 96-1,서울특별시 동대문구 사가정로23길 23-2 (장안동),신광세탁소,206079.043825546    ,453077.655477679    
서울특별시 동대문구 장안동 137-18,"서울특별시 동대문구 답십리로63길 18, 1층 (장안동)",은하사,205966.290113219    ,452348.862989629    
서울특별시 동대문구 장안동 167-29,"서울특별시 동대문구 한천로24길 28, 1층 (장안동)",현대세탁소,205809.545783882    ,451987.090407656    
서울특별시 동대문구 용두동 39-73,서울특별시 동대문구 천호대로31길 74 (용두동),대원사,203628.967154585    ,452697.136072182    
서울특별시 동대문구 전농동 645-2,"서울특별시 동대문구 서울시립대로 31, 상가동 108호 (전농동, 동아아파트)",동아세탁,203967.783536236    ,452510.849293451    
서울특별시 동대문구 장안동 382-18,서울특별시 동대문구 답십리로68길 71 (장안동),금성사,205956.617846519    ,451905.713360787    
서울특별시 동대문구 장안동 121-22,서울특별시 동대문구 답십리로63길 86 (장안동),월풀빨래방,206044.994781225    ,452678.848774579    
서울특별시 동대문구 청량리동 36-12 1층,"서울특별시 동대문구 제기로 154, 1층 (청량리동)",백왕사,204358.458752084    ,453727.092997297    
서울특별시 동대문구 청량리동 205-301,서울특별시 동대문구 제기로21길 13 (청량리동),한양사,203632.199729928    ,453892.422795967    
서울특별시 동대문구 청량리동 205-363,서울특별시 동대문구 제기로17길 28 (청량리동),백합사,203574.60948535     ,453963.500928186    
서울특별시 동대문구 전농동 60-325,서울특별시 동대문구 전농로20길 10 (전농동),금강사,204986.356956598    ,453001.261517532    
서울특별시 동대문구 이문동 225-2,"서울특별시 동대문구 이문로54길 46, 대림상가동 115호 (이문동)",대림세탁소,205623.059132399    ,455899.982370316    
서울특별시 동대문구 제기동 456,"서울특별시 동대문구 약령시로 122-14, 1층 (제기동)",은혜세탁소,203735.418776552    ,453376.974761127    
서울특별시 동대문구 전농동 498-12,"서울특별시 동대문구 답십리로23길 9, 1층 (전농동)",클린앤클린,204197.836514397    ,452665.143653502    
서울특별시 동대문구 청량리동 318-4 1층,"서울특별시 동대문구 약령시로 129-2, 1층 (청량리동)",청량세탁소,203866.512756184    ,453446.489559997    
서울특별시 동대문구 이문동 45 대우아파트상가 203호,"서울특별시 동대문구 한천로58길 139, 203호 (이문동, 대우아파트상가)",대우세탁소,206093.183818854    ,455584.872318917    
서울특별시 동대문구 답십리동 488-70,서울특별시 동대문구 전농로2나길 16 (답십리동),부부수선세탁,205018.072963795    ,451674.916586691    
서울특별시 동대문구 휘경동 57-3 주공아파트 제주상가 105호,"서울특별시 동대문구 한천로 250, 1층 105호 (휘경동, 주공아파트 제주상가)",주공그린세탁,205993.270656311    ,453432.369638822    
서울특별시 동대문구 전농동 678-4,서울특별시 동대문구 답십리로15길 30 (전농동),장수사,204110.729277799    ,452826.258538387    
서울특별시 동대문구 전농동 495-19,서울특별시 동대문구 답십리로21길 17 (전농동),부림사,204136.594799169    ,452746.180536982    
서울특별시 동대문구 답십리동 498-5,서울특별시 동대문구 천호대로 247 (답십리동),매트로세탁소,204339.02648963     ,451913.557300365    
서울특별시 동대문구 답십리동 80 답십리청솔우성아파트,"서울특별시 동대문구 전농로10길 20, 상가1동 1층 106호 (답십리동, 답십리청솔우성아파트)",청솔우성 세탁소,205208.167449959    ,452466.868525878    
서울특별시 동대문구 전농동 204-136,서울특별시 동대문구 전농로17길 24 (전농동),백미사,204865.562644103    ,452963.154440992    
서울특별시 동대문구 휘경동 183-378 1층,"서울특별시 동대문구 회기로29길 35, 1층 (휘경동)",현대사,205052.646378105    ,454379.046708686    
서울특별시 동대문구 용두동 236-1 신설동역 대우아이빌 101동 107호,"서울특별시 동대문구 왕산로 52, 1층 (용두동, 신설동역 대우아이빌 101동 107호)",아이빌세탁,202536.147106474    ,452765.865037064    
서울특별시 동대문구 장안동 321-4,"서울특별시 동대문구 장한로28가길 64, 1층 (장안동)",중앙사,206380.876724029    ,452619.241777601    
서울특별시 동대문구 전농동 10 외7필지 전농SK아파트 주상가동 3층 308-2호,"서울특별시 동대문구 사가정로 148, 주상가동 3층 308-2호 (전농동, 외7필지 전농SK아파트)",에스케이세탁소,205271.704936121    ,452706.897879436    
