기관명,병원분류명,주소,병원경도,병원위도
강남준성형외과의원,의원,"서울특별시 서초구 강남대로 547, 2층 (반포동, 한국교과서연구재단빌딩)",127.0210421821,37.5106505
CL성형외과의원,의원,"서울특별시 노원구 동일로 1392, 5층 (상계동,노원한일빌딩)",127.061324512782,37.6530537904638
CNP차앤박피부과의원,의원,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",126.924993896764,37.5227019151559
D&A(디앤에이)성형외과의원,의원,"서울특별시 강남구 압구정로 210, 융기빌딩,3층 일부 (신사동)",127.030136872451,37.5277462359224
강서온정한의원,한의원,"서울특별시 강서구 금낭화로 91-2, 대승프라자 4층 401호 (방화동)",126.8110813709,37.5736504764
DMC수색신경외과의원,의원,"서울특별시 은평구 수색로 191, 두빌191 2층 (증산동)",126.901072414948,37.5782509235095
DR.문이비인후과의원,의원,서울특별시 관악구 은천로 105 (봉천동),126.947131764449,37.4871240108782
Dr.고신경정신과의원,의원,"서울특별시 광진구 능동로 324, 3층 (중곡동)",127.080389737645,37.5583892239032
Dr.서치과의원,치과의원,서울특별시 송파구 양재대로 1148 (오금동),127.127328312456,37.5096893209385
Dr홍연합의원,의원,"서울특별시 송파구 토성로 78, 정민빌딩 203호 (풍납동)",127.118409964876,37.5280338232329
강우곤치과의원,치과의원,서울특별시 종로구 삼일대로 443,126.98707723178786,37.573960183476096
E&I 치과의원,치과의원,"서울특별시 동대문구 고산자로 399, 4층 (용두동)",127.037769621436,37.5752762915537
EB치과의원,치과의원,서울특별시 동대문구 장한로 170 (장안동),127.07228254527,37.5754486923863
강일코모키이비인후과의원,의원,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",127.1738171036809,37.56562239138539
글로벌서울성형외과의원,의원,"서울특별시 강남구 언주로 846, 글로벌메디컬빌딩 7층 (신사동)",127.033726746181,37.525954523882
JnS오치과의원,치과의원,"서울특별시 송파구 위례성대로18길 31-20 (방이동, MIK타워 401호)",127.12577799269,37.5090820833277
L&B치과의원,치과의원,"서울특별시 강북구 도봉로 325, 5층 (수유동, 수성타워)",127.024348524417,37.6373240554406
LBO산치과의원,치과의원,"서울특별시 중랑구 망우로 247, 로얄스포츠센터 2층 (중화동)",127.079577141932,37.5953217946712
고려엔케이연합의원,의원,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 홈플러스 강서점)",126.854819012937,37.5584699599397
LBO의원,의원,"서울특별시 중랑구 망우로 247, 2층 (중화동, 로얄스포츠센타)",127.079577141932,37.5953217946712
MBS한의원,한의원,"서울특별시 중구 수표로 45, 9층 (저동2가, 비즈센터)",126.98959572947926,37.56533903086165
NYU이문치과의원,치과의원,"서울특별시 동대문구 이문로 125, 2층 (이문동)",127.06091209001,37.5978850507988
NY치과의원,치과의원,"서울특별시 관악구 난곡로 226, 3층 (신림동)",126.917279080461,37.4745146520439
OK부부치과의원,치과의원,"서울특별시 은평구 통일로 901, 3층 (갈현동)",126.919571037774,37.6234739751002
OK치과의원,치과의원,"서울특별시 관악구 난곡로 53, 406호 (신림동, 관악산휴먼시아상가)",126.919326648265,37.4602221608432
OLE(올래)성형외과의원,의원,"서울특별시 강남구 압구정로30길 23, 6층 604호 (신사동)",127.029494234094,37.5258914152554
금란치과의원,치과의원,서울특별시 중랑구 망우로 460 (망우동),127.103136691889,37.6001065609187
SC제일산부인과의원,의원,서울특별시 광진구 광나루로 506 (구의동),127.085664922443,37.5447170145947
경희예가한의원,한의원,"서울특별시 강남구 테헤란로51길 23, 3층 304호 (역삼동)",127.045747691089,37.5051902735793
SJ서울삼정치과의원,치과의원,"서울특별시 강남구 봉은사로 205 (논현동, 상하빌딩 2층)",127.034472042487,37.5077659311428
SKY(스카이)치과의원,치과의원,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 3층 (역삼동)",127.035838830564,37.4996347605088
SKY서울가정의학과의원,의원,"서울특별시 성북구 성북로4길 52, 417동 2층 1211호 (돈암동)",127.012706037821,37.5944725333435
고척으뜸내과의원,의원,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",126.857532971967,37.4990691887707
SK우리들정형외과의원,의원,"서울특별시 강북구 솔샘로 184, 210호 (미아동, SK북한산시티아파트상가 )",127.012851056561,37.6199587236903
게이트성형외과의원,의원,"서울특별시 강남구 강남대로 476, urbanhive 10층 (논현동)",127.02479086770352,37.50490856937278
SNU하안과의원,의원,"서울특별시 노원구 화랑로 337, 4층 (월계동)",127.065169222212,37.6152393519423
경희제일한의원,한의원,"서울특별시 강동구 성안로25길 6, 상가 204호 (천호동, 삼성아파트)",127.134984382011,37.53803417620658
경희이끌림한의원,한의원,"서울특별시 송파구 송파대로 408, 하림빌딩 2층 (송파동)",127.1089785725,37.50373644729999
